qid,aid1,pid1,act1,aid2,pid2,act2,sim,rel,ma,pac
5_7,4910,995,go grocery shopping,3351,683,buy a piece of furniture,0.9,1.3,1.1,0.4
5_8,4065,826,do yard work,3297,672,sweep the floor,1.7,1.9,2.4,1.0
5_9,1474,307,take one's spouse to a hot air baloon festival,4423,897,swim,0.1,0.3,0.2,0.1
5_10,2453,503,string beads into a necklace,2947,602,do work on the computer,0.1,0.2,0.3,-0.6
5_11,1254,261,cook a pasta dish with beans,4334,880,make macaroni and cheese,3.5,3.5,3.9,1.1
5_12,4866,986,listen to music,2808,574,listen to motivational recordings on youtube,2.7,2.4,2.6,0.5
5_13,4153,843,play volleyball,2740,561,play football,2.5,2.5,3.5,0.4
5_14,3021,617,take one's girlfriend/boyfriend to see a model home,2484,509,shop for furniture,1.4,2.3,2.8,1.3
5_15,4682,949,call one's mom,2331,479,call dad,3.9,3.9,3.6,0.8
5_16,4711,955,talk to neighbors,2744,561,cut the grass,0.2,0.5,0.4,0.7
5_17,2825,578,watch battlestar galactica,3294,671,watch college football,1.9,1.7,2.1,-0.6
5_18,2832,579,make a nice ham sandwich,2957,604,make cookies,2.9,2.3,3.4,0.9
5_19,3480,709,make a new recipe,4100,833,excercise,0.2,0.0,0.2,-0.4
5_20,4928,998,read a book,2061,425,play games on one's phone,0.3,0.4,1.7,-1.0
5_21,4860,985,go to work,2681,549,work one's normal full time job,3.8,4.0,3.8,1.5
5_22,4726,958,clean,1639,340,do housecleaning,3.9,3.7,3.9,2.0
5_23,2140,441,check fb,4373,887,check twitter,3.8,3.6,3.9,1.1
5_24,4883,989,go to church,290,59,pray obligatory 5 daily prayers,2.9,3.6,3.6,1.3
5_25,4910,995,go grocery shopping,4818,976,eat dinner with family,0.9,1.7,2.1,1.1
6_1,1483,309,clean a camper,3964,806,take the dog for a walk,0.3,0.2,0.9,0.5
6_2,1762,365,cook for one's family,2570,527,make dinner for one's mother and oneself,3.6,3.4,3.6,1.8
6_3,4450,903,mow the lawn,3278,668,mow grass,3.9,3.6,3.6,1.7
6_4,4910,995,go grocery shopping,2692,551,fill air in tires,0.2,0.7,1.4,0.5
6_5,4902,993,cook,2376,488,bike 7 miles,0.0,0.0,0.4,-0.3
6_6,4489,911,go to hunan garden with one's girlfriend/boyfriend,3727,758,skype with one's girlfriend/boyfriend,1.4,1.7,3.0,0.3
6_7,4557,924,watch movies,4868,986,watch tv,3.3,3.5,3.4,1.5
6_8,4925,998,eat dinner with one's family,2589,530,eat lunch with parents,3.2,3.1,3.9,1.5
6_9,386,79,visit a friend with a new baby,728,151,eat dinner with one's whole family,1.2,1.0,1.4,0.4
6_10,4909,995,cook dinner,3642,741,do dishes,1.3,2.5,2.5,1.3
6_11,1336,278,listen to music on spotify,4449,903,go on a job interview,0.0,0.1,0.2,-0.3
6_12,2362,485,clean the closet,4930,999,do laundry,1.3,2.0,2.9,0.8
6_13,4348,882,vacuum living room,4245,862,clean one's house,3.6,3.7,3.7,1.6
6_14,4115,836,go out to dinner,396,81,tend to sick orphaned kittens,0.2,0.3,0.4,-0.5
6_15,4115,836,go out to dinner,3953,803,play tennis,0.4,0.5,0.4,-0.1
6_16,4910,995,go grocery shopping,4781,969,go to the grocery store,3.9,4.0,4.0,1.7
6_17,3333,679,walk in the park,3395,692,walk on the treadmill for 30 minutes,2.0,2.4,3.0,-0.2
6_18,4614,936,take one's son to er for a sprained ankle,4390,891,take baby to appointment,2.4,2.2,2.8,0.6
6_19,1235,257,attend a concert,4223,857,go to the movies,2.0,1.5,2.8,0.4
6_20,3233,659,make the bed,4759,965,clean the house,2.5,2.8,3.3,1.2
6_21,2899,592,finish an application for a grant,1513,315,go shopping with friends,0.2,0.3,0.4,-0.3
6_22,3858,784,go to the movie theater,4320,877,watch a movie,3.1,3.0,3.4,1.3
6_23,3142,641,draw pencil sketches,3257,664,color with crayons,3.4,3.1,3.6,1.0
6_24,4750,963,exercise,1024,213,eat a lot of food,0.2,0.3,0.4,-0.4
6_25,2869,586,email,4854,984,go to the therapist,0.0,0.0,0.0,-0.2
7_1,1416,294,learn to program,4554,924,build a computer,2.2,2.4,2.7,0.8
7_2,4685,950,take a modern dance class,4686,950,take a yoga class,2.1,2.3,2.5,-0.3
7_3,4935,1000,do surveys,1670,347,get information about volunteer work,1.0,1.4,1.4,0.1
7_4,4227,858,clean one's room,3208,654,take out trash,2.4,2.8,3.0,1.0
7_5,2589,530,eat lunch with parents,3082,629,talk with parents,2.3,2.6,3.0,1.2
7_6,4366,886,surf the internet,2150,443,take bike rides,0.1,0.1,0.1,-0.9
7_7,362,73,feed a fish,867,179,take care of one's rabbits,3.1,2.7,3.3,0.2
7_8,262,53,apply for new jobs,4742,961,go to a job interview,3.2,3.5,3.7,1.6
7_9,4569,927,eat dinner with one's boyfriend,3812,775,take a finite math test,0.0,0.0,0.0,-0.3
7_10,3132,639,spend time with one's partner,1531,318,go on a dating app,0.9,0.9,1.3,-1.4
7_11,1146,239,visit the library to get books on cd to listen to in the car,517,107,go to the library to get books,3.3,3.4,3.4,1.0
7_12,4925,998,eat dinner with one's family,2003,413,eat dinner with one's kids,3.5,3.6,3.7,1.6
7_13,4255,864,sleep,1810,375,brush one's teeth,0.9,1.1,1.3,0.1
7_14,4815,976,play video games,4868,986,watch tv,2.0,2.0,2.8,-0.7
7_15,2519,516,eat breakfast with one's family,4637,940,spend time with family,3.0,2.9,3.4,1.3
7_16,3855,784,bathe one's cats,3893,791,browse reddit,0.0,0.0,0.0,-1.0
7_17,2772,567,take a bubble bath,1,0,clean the bathtub,1.2,1.5,1.2,0.5
7_18,2749,562,play the computer game lords of the fallen,4293,871,play bingo,1.4,1.5,2.4,-1.0
7_19,1001,208,host a barbecue,2650,543,check the status of one's disability claim through the ssa website,0.0,0.0,0.0,-0.2
7_20,4541,921,walk,3235,660,eat 2 bags of chips,0.0,0.2,0.0,-1.5
7_21,2740,561,play football,4596,932,play basketball,3.3,2.8,3.6,-0.6
7_22,2784,569,go out to eat with friends,4050,823,go out for dinner,3.4,3.4,3.4,0.6
7_23,4705,954,walk for exercise,1068,222,lift at the gym,2.8,2.7,3.7,-0.0
7_24,3979,809,golf,4750,963,exercise,2.0,2.2,2.2,0.4
7_25,244,49,travel to another state,240,49,pack suitcases,1.8,2.3,2.4,1.6
8_1,3969,807,spend quality time with spouse,4184,850,work out at the gym,0.44444,0.33333,0.55556,-0.66667
8_2,4902,993,cook,4759,965,clean the house,1.55556,1.88889,2.11111,1.22222
8_3,4699,953,go to the post office,509,105,go to the bank,1.66667,1.44444,1.88889,0.55556
8_4,2440,501,fly to the adirondacks with one's girlfriend/boyfriend,425,88,make a sandwich,0.0,0.0,0.0,-0.22222
8_5,3563,725,hike,2972,607,smoke,0.0,0.11111,0.22222,-1.11111
8_6,913,189,drive to store,3851,783,go shopping,2.88889,3.33333,3.55556,1.55556
8_7,2034,419,scrub the bathroom,2927,598,scrub the walls in the house,3.66667,3.88889,3.88889,1.77778
8_8,4506,914,work on a website design,2249,462,obtain ui buttons from a designer,3.0,3.33333,3.44444,1.66667
8_9,3625,738,eat a sandwich,2274,467,eat cereal for breakfast,3.44444,3.55556,3.77778,0.22222
8_10,4534,920,take a shower,2767,566,comb one's hair,2.77778,2.88889,3.33333,1.77778
8_11,4860,985,go to work,4351,883,dance with friends at a festival,0.0,0.11111,0.11111,-0.77778
8_12,1648,342,work with clients,4075,828,sell insurance,3.11111,2.88889,3.33333,1.66667
8_13,4918,996,work,3965,806,go to one's real job,4.0,3.88889,4.0,2.0
8_14,4045,822,watch a movie in theaters,3761,765,clean up,0.0,0.0,0.0,-0.33333
8_15,836,173,post a status on facebook,1864,385,go to the post office everyday,0.22222,0.11111,0.66667,-0.11111
8_16,2919,596,coach student actors at one's old high school,3349,683,teach high school students a class,3.33333,3.55556,3.66667,1.44444
8_17,4815,976,play video games,2932,599,play online,3.55556,3.44444,3.66667,1.88889
8_18,4355,884,read books,3521,717,visit a bookstore,3.22222,3.22222,3.66667,2.0
8_19,4846,982,go shopping for clothes,2398,492,shop for shoes,3.11111,3.33333,3.77778,1.55556
8_20,565,117,see the optomitrist,3108,634,make a doctors appointment,3.0,3.11111,3.44444,1.33333
8_21,2722,557,go shopping for groceries,4499,913,study mandarin chinese,0.11111,0.11111,0.66667,0.33333
8_22,1118,233,work 40 hours a week,204,42,work one's last day at one's old job,1.77778,1.88889,2.0,0.44444
8_23,4255,864,sleep,1752,363,rest in bed,4.0,4.0,4.0,1.66667
8_24,4860,985,go to work,2233,459,study abstract algebra,0.33333,0.22222,0.22222,-0.11111
8_25,952,197,make breakfast with one's partner,2085,430,hit on women,0.11111,0.33333,0.55556,-0.33333
101_1,4325,878,watch netflix,4217,856,set up cable boxes,0.57143,1.28571,2.0,-0.0
101_2,1339,278,play video games on one's xbox,716,148,make breakfast for one's daughters,0.0,0.0,0.14286,-0.71429
101_3,2650,543,check the status of one's disability claim through the ssa website,1548,322,check out books at local public library,0.42857,0.14286,0.28571,-0.28571
101_4,1660,345,mail some letters,3298,672,retrieve the mail,2.42857,3.0,1.71429,0.85714
101_5,3884,790,have a date night with spouse,2859,584,go out to the movies with a date,3.0,3.14286,3.0,-0.14286
101_6,1428,297,clean one's desk,4769,967,look for a new job,0.0,0.57143,0.57143,0.42857
101_7,2948,602,restyle one's hair,1291,268,cut one's son's hair,1.57143,2.14286,1.28571,1.14286
101_8,3501,713,take a short trip,1425,296,drive long distances,1.0,1.85714,1.71429,0.57143
101_9,130,27,cut firewood,1947,402,trim one's beard,0.0,0.28571,0.0,-0.14286
101_10,2925,598,play softball,1507,313,go bowling,1.42857,1.85714,2.57143,0.71429
101_11,3169,646,snuggle with one's spouse,3133,639,practice scales on guitar,0.14286,0.0,0.28571,-0.0
101_12,4857,984,watch tv with one's family,705,146,make cookies for one's family,1.0,1.71429,2.71429,1.42857
101_13,922,191,tour washington dc,301,61,visit an art museum,1.57143,2.0,2.85714,1.0
101_14,190,39,purchase one's first mini computer,2231,459,install a new solid state hard drive,1.28571,2.0,2.42857,0.57143
101_15,2731,559,look online for jobs,4451,903,research new benefits information for the upcoming open enrollment period of one's spouse's employer,0.57143,1.0,0.85714,-0.0
101_16,326,66,cook a nice meal,3819,777,bake a cake,3.0,3.28571,3.57143,1.71429
101_17,1002,208,go to a funeral,2021,417,go to a wedding and take lots of pictures,0.71429,0.57143,0.85714,0.57143
101_18,1794,371,write blogs,2370,487,browse the internet,1.57143,2.28571,1.71429,0.85714
101_19,1702,353,talk on the phone to one's son that lives out of state,4599,933,talk to friends on skype,2.57143,2.28571,2.42857,0.71429
101_20,1801,373,play fallout 3,2253,463,watch a movie on tv,0.71429,1.28571,1.71429,-0.28571
101_21,1631,339,babysit a neighbor's infant,4202,853,drop one's daughter off at daycare,0.71429,2.0,1.28571,-0.28571
101_22,448,93,take one's spouse to the beach for a picnic,3419,697,write a romantic letter,1.57143,2.14286,3.14286,1.57143
101_23,4407,894,go to lunch with one's girlfriend/boyfriend,2702,553,eat lunch with one's sister,2.42857,2.42857,2.14286,0.42857
101_24,3531,719,prepare for upcoming fantasy football draft,4933,999,coach soccer,0.57143,0.42857,0.57143,0.14286
101_25,3756,764,try to potty train one's dog,3773,767,try to lose weight by going to the gym,0.0,0.0,0.0,0.42857
102_1,261,53,design a commercial office,4896,992,study real estate,1.28571,1.0,1.14286,0.14286
102_2,4166,846,shop online,3521,717,visit a bookstore,1.71429,1.85714,2.28571,-1.14286
102_3,925,191,play with one's cat as she chases a ball of string,622,129,do a kickboxing lesson,0.0,0.14286,0.14286,-0.85714
102_4,3133,639,practice scales on guitar,2230,459,practice the violin,2.85714,3.14286,3.71429,0.28571
102_5,3961,805,take a trip to the zoo with family,2545,522,make lunches for one's son,0.57143,0.71429,1.28571,-0.28571
102_6,2938,600,make some birthday cards and send them to family and friends,4682,949,call one's mom,1.28571,1.57143,2.28571,0.42857
102_7,1047,217,go to the doctor's office,1891,391,have a massage,0.71429,1.0,1.57143,0.14286
102_8,996,206,go to the drive-in,2521,517,have a netflix marathon,1.28571,1.71429,2.42857,-0.42857
102_9,2054,423,play football with friends,3953,803,play tennis,2.42857,2.57143,3.14286,-0.71429
102_10,2450,503,play solitaire and bingo games on one's kindle,4326,878,play video games with friends,2.14286,2.14286,2.85714,-0.14286
102_11,1779,368,have conversations with one's daughter,2203,453,talk to one's son about high school,3.57143,3.28571,3.71429,0.42857
102_12,574,118,pack boxes for an upcoming move,2698,552,sweep and clean the house,1.28571,1.57143,1.57143,0.85714
102_13,4001,813,take one's son to a burger restaurant with live entertainment,3699,753,eat dinner out,3.0,3.0,2.85714,0.57143
102_14,4154,844,answer emails,3990,811,write a letter,2.57143,3.14286,3.28571,0.42857
102_15,3843,781,cook yummy meals,3820,777,grill meat on a charcoal grill,3.28571,3.42857,3.71429,0.57143
102_16,197,40,clean one's bedroom,1320,275,go on a trip to a different state,0.0,0.0,0.0,-0.42857
102_17,4894,992,do a fundraising activity for child's club,3709,755,count money for a fundraiser,1.71429,1.85714,2.28571,0.71429
102_18,2932,599,play online,32,6,download new podcasts,0.85714,1.28571,1.28571,0.14286
102_19,4047,822,resume reading a non-fiction book,4821,977,read science fiction novels,2.57143,2.71429,3.14286,-0.28571
102_20,4224,858,feed and play with one's cat,396,81,tend to sick orphaned kittens,2.57143,2.85714,2.85714,0.42857
102_21,4541,921,walk,3563,725,hike,3.28571,3.42857,3.57143,1.14286
102_22,2405,494,visit parents for sunday barbecue,2304,473,fish for mackerels,0.42857,0.28571,0.71429,-0.57143
102_23,2666,546,pay the phone bill,3875,788,pay one's student loan bill,2.14286,2.57143,2.42857,0.71429
102_24,2894,591,"punch a punching bag 40,000 times",1202,250,play fighting games,2.14286,2.42857,2.57143,0.14286
102_25,4630,939,do water aerobics,4737,960,collect market research,0.14286,0.0,0.0,-0.42857
103_1,2089,430,do business,4894,992,do a fundraising activity for child's club,1.0,1.42857,0.42857,0.28571
103_2,1967,406,watch a television show,3018,616,watch a dvd,3.14286,3.28571,3.28571,1.0
103_3,3367,686,eat out at a new restuarant,4236,860,order take out,2.0,2.71429,2.71429,-0.71429
103_4,1926,398,meet up with friends of ours for dinner,2893,591,meet up with a friend and play basketball for the entire afternoon,1.14286,1.57143,2.14286,0.28571
103_5,3158,644,have beers with one's best friend,306,62,have a great meal on a date,1.42857,1.57143,1.28571,0.71429
103_6,1256,261,get a much needed haircut,2326,478,get one's hair done,2.85714,3.14286,3.42857,1.42857
103_7,4146,842,learn html online,2949,602,have a barbecue,0.0,0.0,0.28571,-0.42857
103_8,34,6,do trash pickup day chores,1382,287,sleep in,0.14286,0.28571,0.28571,-0.85714
103_9,3767,766,go for a walk on the beach,3874,788,test a new cupcake recipe,0.0,0.0,0.42857,-0.0
103_10,1392,289,go and see two movies back to back with one's spouse,3578,728,watch movies with family,3.42857,3.57143,3.0,0.85714
103_11,2567,526,eat lunch at 5 guys,3572,727,eat at a restuarant with family,2.85714,3.0,2.14286,0.57143
103_12,2947,602,do work on the computer,4754,964,write emails to business partner,2.71429,3.14286,2.85714,1.0
103_13,4766,966,mow lawn,4659,945,work in the garden,3.0,3.42857,3.14286,0.85714
103_14,4837,980,apply for and get hired for a new job all in the same day,1814,375,update one's resume,1.85714,2.57143,3.0,0.71429
103_15,4286,870,read to one's kids,3927,798,go to a bar,0.0,0.0,0.0,-1.28571
103_16,2123,437,do a ton of spring cleaning,4039,821,do the laundry,2.14286,2.71429,3.14286,0.57143
103_17,972,201,have lunch with parents,773,160,go to a restaurant,2.71429,2.85714,1.71429,0.71429
103_18,4401,893,shop for clothes,1657,344,pay one's credit card bill online,0.0,0.14286,0.14286,-0.0
103_19,4508,914,program,3604,734,type an essay,1.14286,1.42857,0.57143,-0.0
103_20,4876,988,give one's dog a bath and try her nails,3290,671,work on one's fantasy football lineup,0.0,0.0,0.57143,-0.57143
103_21,3906,794,plant in garden,904,187,play with legos,0.42857,0.0,0.71429,-0.71429
103_22,3431,699,learn how to use a fire extinguisher,123,25,smoke marijuana cigarettes,0.0,0.0,0.0,-0.71429
103_23,4703,953,evaluate the assessments for urology,2671,547,rewrite a lecture,1.0,0.57143,0.71429,0.28571
103_24,3890,791,finish a book,3779,769,write a poem,1.28571,1.85714,1.42857,0.85714
103_25,3712,755,buy milk at the grocery store,2454,503,order groceries to be delivered,2.85714,3.28571,3.0,-0.0
104_1,2661,545,check and respond to emails,4754,964,write emails to business partner,2.57143,3.14286,2.57143,1.0
104_2,1903,393,go to have one's irn tested at clinic,3396,692,make a casserole for dinner,0.42857,0.42857,0.42857,-0.42857
104_3,3561,725,craft,4903,993,knit,2.14286,2.85714,2.85714,1.0
104_4,104,22,have an appointment with one's therapist,2724,557,write one's journal at a cafe,0.42857,0.57143,1.14286,0.57143
104_5,4593,931,go to work daily,3972,807,go to church with others,0.14286,0.57143,0.42857,0.28571
104_6,1446,301,tend to one's vegetable garden (weeding),3296,672,water the outdoor plants,2.85714,3.71429,3.14286,1.42857
104_7,86,18,sell a used bicycle,1715,356,sell some things via craigslist,2.57143,3.0,3.57143,0.85714
104_8,1516,315,watch tv on the couch,1162,242,sit on the couch with one's spouse,2.0,2.28571,2.28571,0.71429
104_9,1247,259,watch a concert,299,60,watch anime,1.42857,2.0,2.57143,0.42857
104_10,2956,604,feed one's cats,3811,775,feed dogs,3.28571,3.42857,3.71429,0.14286
104_11,3439,701,exercise at the gym,2957,604,make cookies,0.0,0.0,0.0,-0.14286
104_12,3376,688,organize old cds,2496,512,organize one's desk,2.71429,2.71429,3.57143,0.71429
